communityname,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LemasSwornFT,LemasSwFTPerPop,LemasSwFTFieldOps,LemasSwFTFieldPerPop,LemasTotalReq,LemasTotReqPerPop,PolicReqPerOffic,PolicPerPop,RacialMatchCommPol,PctPolicWhite,PctPolicBlack,PctPolicHisp,PctPolicAsian,PctPolicMinor,OfficAssgnDrugUnits,NumKindsDrugsSeiz,PolicAveOTWorked,LandArea,PopDens,PctUsePubTrans,PolicCars,PolicOperBudg,LemasPctPolicOnPatr,LemasGangUnitDeploy,LemasPctOfficDrugUn,PolicBudgPerPop,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,larc_bin
Mercedcity,56216,3.07,6.87,61.68,15.23,29.86,15.46,30.16,14.34,8.08,56216,100.0,24727,75.05,1.12,31.42,21.45,19.98,14.41,27388,10237,13041,8344,8590,3399,6470.0,6644,13804,25.06,17.12,30.87,15.79,9.99,55.53,13.47,27.18,16.38,25.02,10.22,31.91,16.28,13.34,3.56,67.04,64.81,76.19,72.78,47.24,55.38,1960,4.49,10623,22.97,35.12,42.1,60.31,4.34,6.64,7.96,11.4,65.33,11.87,13.49,9.91,3.03,2.83,3.19,41.69,16.89,57.23,2,683,96.4,44.63,1.46,13.18,1973,4.91,0.55,71200,91100,118900,47700,298,374,455,157,438,29.8,22.6,11.7,64,0,18.9,52.67,39.19,74.58,85.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,3365.4,0.59,0.0,0.0,0.0,0.0,0.0,0.0,10,16.49,30.0,49.46,121.0,199.5,170.0,280.29,1376.0,2268.72,2563.0,4225.82,489.0,806.25,34.0,56.06,545.75,7356.84,1
GrandForkscity,49425,2.67,0.8,95.49,1.07,1.19,20.6,38.87,24.1,7.87,49425,100.0,25456,83.71,2.25,45.03,18.9,4.64,9.83,32417,11902,12096,10578,6096,9944,5528.0,6559,6526,14.48,7.24,14.24,29.28,5.08,66.75,6.38,35.22,11.28,30.59,6.77,43.87,9.78,8.28,3.07,75.26,76.33,83.86,78.54,73.58,77.17,629,1.95,1112,33.63,42.9,48.38,54.23,0.76,0.97,1.09,1.22,94.35,0.3,3.6,2.32,2.43,2.84,2.04,56.93,1.98,57.07,2,1058,94.6,48.71,0.85,20.51,1968,2.77,0.45,50800,64700,81800,31000,234,320,391,157,367,26.1,20.5,12.1,70,0,2.25,62.7,41.07,66.59,80.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3304.7,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,19.0,37.7,14.0,27.78,28.0,55.55,234.0,464.26,2202.0,4368.79,195.0,386.88,14.0,27.78,121.02,5247.7,1
SouthSanFranciscodivision,280039,2.82,4.82,61.64,26.37,19.39,12.25,26.29,12.39,10.71,279874,99.98,43088,82.17,0.57,47.05,22.72,5.77,16.49,48707,17622,19632,15256,15338,14858,11579.0,12278,16162,5.85,7.33,18.13,23.85,4.43,67.21,9.53,19.56,11.22,25.19,9.22,33.18,12.64,10.99,3.32,76.63,72.06,86.83,78.97,70.39,75.87,4841,2.52,86104,13.91,21.87,33.36,43.05,4.28,6.72,10.26,13.24,60.17,6.15,9.26,6.55,2.78,2.91,2.59,62.91,11.59,52.24,2,3641,96.47,60.14,1.32,19.36,1959,0.81,0.42,237400,288000,367500,130100,585,695,879,294,749,27.4,25.0,11.5,217,122,30.76,48.31,53.89,73.5,89.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.9,4522.6,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2,3.56,5.0,8.9,78.0,138.84,127.0,226.07,331.0,589.2,1494.0,2659.4,294.0,523.34,21.0,37.38,377.37,3809.32,0
Anokacity,17192,2.69,0.58,97.4,1.07,0.76,14.3,30.82,14.81,9.56,17192,100.0,31289,80.44,0.27,42.64,23.21,5.62,13.56,38241,14148,14319,8639,5781,4521,0.0,6649,1393,8.48,7.6,17.45,16.42,5.6,66.25,25.98,20.53,18.3,20.8,11.0,32.72,13.91,12.5,3.12,70.9,72.17,78.47,75.51,73.84,78.15,440,3.24,232,15.95,19.4,19.4,21.55,0.22,0.26,0.26,0.29,96.09,0.27,3.96,2.71,2.57,2.93,2.1,64.26,3.02,53.73,2,405,94.04,56.26,0.49,24.94,1969,2.25,0.12,66700,80000,94600,27900,356,418,494,138,446,26.6,19.1,11.8,21,0,1.35,76.87,47.0,74.93,92.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,2510.4,2.26,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,6.0,35.62,21.0,124.68,166.0,985.57,636.0,3776.05,53.0,314.67,11.0,65.31,0.0,5141.6,1
SanCarloscity,26167,2.37,0.94,91.3,6.07,6.46,9.03,19.36,8.48,14.25,26167,100.0,54658,77.85,0.52,62.49,25.65,2.52,18.84,63337,28161,28647,27282,20295,23416,17992.0,20889,713,2.73,2.43,8.38,35.77,2.43,69.33,16.34,23.36,6.28,39.23,9.48,24.71,12.87,11.26,2.82,82.5,81.21,91.83,77.66,62.67,71.0,91,0.58,3283,6.37,10.63,17.42,25.43,0.8,1.33,2.19,3.19,84.0,1.64,2.14,1.48,2.36,2.48,2.06,75.92,1.98,44.78,3,294,97.41,72.37,0.68,21.09,1957,0.56,0.0,328100,407500,500001,171901,611,744,972,361,810,26.6,27.7,11.9,0,0,12.55,55.31,58.4,82.21,92.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,4486.8,3.98,0.0,0.0,0.0,0.0,0.0,0.0,1,3.54,1.0,3.54,24.0,85.06,32.0,113.41,153.0,542.25,586.0,2076.84,54.0,191.38,0.0,0.0,205.56,2810.46,0
Crestwoodcity,11234,2.49,0.55,98.33,0.83,0.91,10.05,19.89,9.15,17.44,11234,100.0,40926,77.87,0.65,69.0,34.56,1.94,21.64,45637,18481,18590,13611,12141,17686,13810.0,8696,377,3.36,5.48,16.67,29.34,4.23,60.85,15.18,26.1,6.26,36.89,5.47,22.38,9.14,7.41,2.91,86.31,86.39,95.11,88.51,51.76,66.16,43,0.46,408,1.72,1.72,2.94,11.27,0.06,0.06,0.11,0.41,95.41,0.86,2.89,2.22,2.49,2.53,2.14,92.02,0.58,23.37,3,83,98.19,90.71,1.2,22.89,1958,0.35,0.0,75400,91500,115600,40200,352,392,497,145,469,27.9,15.6,11.4,0,0,3.63,73.06,73.14,87.69,96.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,3400.1,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,8.88,7.0,62.16,6.0,53.28,34.0,301.93,600.0,5328.12,19.0,168.72,4.0,35.52,124.32,5834.3,1
Livingstontownship,26609,3.03,1.08,89.25,9.32,1.86,12.59,21.76,11.25,12.56,26609,100.0,74401,87.19,0.64,70.16,25.03,2.27,16.15,79030,34160,35558,14240,1527,22885,18967.0,21555,361,1.36,3.61,9.13,52.54,2.55,68.42,11.94,31.6,4.11,45.82,2.72,27.06,4.93,3.87,3.23,90.79,89.2,97.64,91.04,54.53,66.83,85,0.43,4102,9.17,14.65,21.14,30.77,1.41,2.26,3.26,4.74,81.01,2.72,3.95,3.53,3.02,3.01,3.19,94.72,0.93,7.34,3,121,98.64,95.01,0.0,31.4,1958,0.0,0.36,198400,245300,349700,151300,747,1001,1001,254,1001,24.6,20.9,13.1,0,0,15.42,56.01,72.64,86.16,91.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1850.4,6.69,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,14.81,19.0,70.34,73.0,270.27,706.0,2613.85,154.0,570.16,1.0,3.7,85.15,3457.98,0
Highlandtown,23696,2.71,0.24,97.76,0.87,3.88,13.6,25.47,11.97,12.42,23696,100.0,39437,80.94,0.62,57.3,29.36,2.78,20.98,44023,15948,16022,10833,0,17175,10816.0,10098,850,3.6,5.02,15.34,18.89,3.62,63.63,23.5,25.37,12.83,27.6,6.14,25.71,8.72,7.5,3.14,84.87,82.39,91.56,81.95,59.18,71.12,68,0.37,1075,1.77,4.65,7.44,10.7,0.08,0.21,0.34,0.49,90.85,0.85,4.14,3.22,2.71,2.9,1.99,84.98,1.62,32.84,3,164,98.16,79.5,0.61,29.88,1962,0.54,0.09,60000,72300,89900,29900,343,408,503,160,504,21.9,14.7,12.2,0,0,4.54,66.02,70.42,90.2,91.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3362.1,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,8.77,15.0,65.75,56.0,245.47,79.0,346.29,793.0,3476.09,136.0,596.15,4.0,17.53,319.99,4436.07,1
Midvalecity,11886,2.57,0.39,87.04,3.87,15.3,16.12,35.49,18.9,9.93,11886,100.0,21183,77.04,0.43,30.03,26.27,9.85,16.74,23681,9631,10035,15000,4002,7044,7029.0,6943,2446,20.7,8.54,26.28,13.24,7.12,63.96,17.96,16.94,20.05,16.57,13.58,30.6,16.0,14.83,3.17,62.31,61.02,69.36,66.5,60.47,65.88,242,2.57,930,18.92,30.65,49.35,62.47,1.48,2.4,3.86,4.89,85.66,3.43,7.92,5.29,2.56,2.81,2.4,44.3,7.67,67.16,2,342,93.12,40.5,3.8,16.96,1969,7.58,0.86,46700,58300,71300,24600,252,286,336,84,347,23.4,21.9,12.8,0,4,7.82,66.99,41.09,79.34,86.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3346.3,3.72,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,64.75,16.0,129.5,37.0,299.47,182.0,1473.09,912.0,7381.63,51.0,412.79,5.0,40.47,493.73,9307.97,1
Hollistercity,19212,3.26,0.62,63.53,2.5,56.14,15.93,30.76,14.4,8.03,0,0.0,32857,83.85,1.87,28.99,21.92,9.5,13.51,35254,11415,13258,9731,11827,13574,7663.0,8217,2225,11.71,22.73,36.73,11.64,10.99,62.77,20.74,18.14,17.35,18.09,8.62,31.41,11.71,10.16,3.63,75.81,71.2,84.66,77.78,62.75,69.53,583,4.13,3978,8.52,22.3,27.07,36.12,1.76,4.62,5.61,7.48,53.54,12.14,13.42,10.6,3.21,3.25,3.17,55.86,16.86,45.05,3,326,94.76,55.31,1.23,20.55,1974,2.78,0.35,143000,181500,223900,80900,374,504,634,260,546,26.3,26.2,12.5,69,12,20.71,60.81,48.34,76.04,94.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,3283.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,4.52,21.0,94.99,181.0,818.71,240.0,1085.58,696.0,3148.18,90.0,407.09,26.0,117.6,918.22,4758.46,0
Austincity,21907,2.34,0.21,98.16,1.19,0.87,12.34,21.86,10.27,19.67,0,0.0,22257,66.84,1.03,46.94,41.28,7.73,23.35,28164,11811,11948,4940,1798,3528,3541.0,2932,2192,10.27,12.26,24.27,15.19,4.37,53.81,22.16,28.92,17.42,21.3,7.56,24.08,9.72,8.73,2.88,73.64,73.37,85.42,72.49,68.34,74.17,195,0.92,293,5.46,32.76,47.1,55.97,0.07,0.44,0.63,0.75,95.28,0.69,2.85,1.87,2.28,2.45,1.85,78.16,1.17,49.04,3,451,95.4,72.96,1.55,43.9,1950,2.86,0.16,31800,43000,58400,26600,175,236,299,124,276,27.2,16.4,12.1,0,0,1.34,71.16,60.54,84.53,91.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2182.7,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,22.77,34.0,154.84,134.0,610.26,646.0,2941.98,41.0,186.72,2.0,9.11,0.0,3748.06,0
Tiffincity,18604,2.65,1.4,97.36,0.67,1.27,17.44,29.62,16.84,13.69,0,0.0,24215,71.35,1.0,45.67,34.4,6.51,20.35,30570,11428,11311,9778,10230,34137,6198.0,8487,1840,10.69,8.31,23.57,13.31,6.44,57.57,26.15,27.69,20.29,22.79,8.4,33.44,10.57,9.55,3.07,76.87,75.52,73.21,80.33,68.4,76.94,216,1.41,298,18.46,21.81,32.89,35.57,0.3,0.35,0.53,0.57,96.54,0.29,4.53,3.05,2.45,2.6,2.17,69.4,1.21,45.54,3,452,93.94,65.47,5.97,42.92,1945,4.81,0.32,34000,44400,59600,25600,184,234,284,100,316,22.1,15.7,12.1,0,0,1.6,84.43,57.23,84.54,94.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2950.2,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1,5.37,4.0,21.49,13.0,69.85,12.0,64.48,106.0,569.56,601.0,3229.27,10.0,53.73,3.0,16.12,161.19,3868.68,0
Lackawannacity,20585,2.43,8.79,88.47,0.35,5.09,11.99,26.07,12.85,16.81,20585,100.0,21310,65.76,0.52,40.46,38.58,10.65,27.55,28261,10796,11434,5550,8916,7176,5580.0,7592,3411,16.68,14.23,34.17,9.59,8.55,51.86,16.95,25.09,17.29,16.2,9.24,34.71,11.48,10.45,3.08,63.07,62.26,71.25,73.15,51.27,59.44,934,5.24,1207,8.29,8.95,9.44,10.44,0.49,0.52,0.55,0.61,82.28,1.95,5.61,3.64,2.41,2.57,2.19,61.38,2.84,44.08,3,527,94.14,57.47,5.69,36.24,1949,4.65,0.55,43700,58200,73600,29900,191,255,313,122,339,26.1,16.8,14.6,81,0,5.86,82.44,69.86,95.81,97.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3246.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,14.91,35.0,174.01,252.0,1252.86,192.0,954.56,387.0,1924.03,136.0,676.15,0.0,0.0,1441.78,0.0,0
Wallingfordtown,40822,2.69,1.01,97.13,0.92,3.22,11.98,24.06,11.02,12.07,35250,86.32,42783,82.72,0.41,56.61,25.1,3.08,18.28,49478,18231,18288,17440,21576,21177,10046.0,13417,1238,3.1,8.19,19.84,22.48,4.45,68.29,23.41,23.3,13.26,27.7,7.86,26.9,9.93,8.94,3.11,83.83,82.53,92.24,85.03,63.13,75.33,273,0.97,2436,10.59,19.01,25.33,31.77,0.63,1.13,1.51,1.9,89.75,1.41,3.69,2.73,2.63,2.81,2.15,77.0,1.36,42.84,3,769,95.17,71.93,1.3,33.16,1959,1.01,0.23,141100,169100,207900,66800,392,522,619,227,617,24.9,22.6,13.9,17,3,5.97,69.23,61.42,90.67,93.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,1009.8,0.47,0.0,0.0,0.0,0.0,0.0,0.0,1,2.42,5.0,12.1,13.0,31.45,17.0,41.13,224.0,541.93,835.0,2020.13,124.0,300.0,13.0,31.45,87.1,2893.5,0
BellGardenscity,42355,4.58,0.53,38.18,1.29,87.53,20.41,36.99,18.83,3.79,42355,100.0,23819,85.24,0.38,10.17,13.89,15.54,8.47,23308,6125,6998,5121,4385,4820,5636.0,5672,10875,26.08,48.23,73.66,1.72,13.37,56.22,35.96,9.99,41.63,6.87,6.26,44.16,12.46,9.28,4.64,68.79,61.95,77.71,73.79,43.06,47.29,2987,9.09,22068,17.75,28.62,36.92,49.17,9.25,14.91,19.24,25.62,16.25,30.37,34.87,30.87,4.52,4.21,4.61,20.98,59.49,85.9,2,302,96.84,22.52,2.65,23.18,1960,10.34,0.89,127000,165200,214400,87400,450,542,638,188,605,32.3,29.7,11.7,0,0,52.1,38.62,41.95,86.67,88.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,16265.4,6.68,0.0,0.0,0.0,0.0,0.0,0.0,8,18.76,11.0,25.79,214.0,501.82,327.0,766.8,669.0,1568.77,562.0,1317.86,393.0,921.56,10.0,23.45,1313.17,3831.63,0
PuntaGordacity,10747,2.1,5.87,93.39,0.36,1.59,5.87,10.71,5.42,39.16,10878,100.0,34158,49.2,0.87,65.95,57.66,6.32,39.51,40288,22482,23273,7422,44684,54993,8656.0,15099,898,8.43,4.66,15.38,25.46,3.93,32.16,7.36,25.64,9.47,31.29,6.83,12.06,8.03,7.47,2.36,66.61,56.45,58.18,53.31,49.36,65.15,213,1.95,536,1.31,3.54,3.54,5.04,0.07,0.18,0.18,0.25,93.01,0.68,1.72,1.31,2.05,2.04,2.1,79.24,1.44,56.6,2,1810,73.9,79.73,0.88,43.59,1979,3.7,0.16,114300,168200,225100,110800,240,364,513,273,434,25.6,23.7,11.5,0,0,4.93,14.53,41.11,58.03,66.03,188.0,1530.2,143.0,1163.93,53435.0,434925.91,284.2,1530.2,98.17,95.21,3.19,1.6,0.0,4.79,13.0,10.0,58.5,14.6,736.1,0.0,230.0,8055879.0,76.06,0.0,6.91,655695.81,1,8.14,1.0,8.14,21.0,170.93,28.0,227.9,73.0,594.17,332.0,2702.26,15.0,122.09,0.0,0.0,415.11,3418.53,0
SiouxCitycity,80505,2.64,2.3,92.57,1.48,3.26,14.77,26.86,13.05,12.74,80505,100.0,25045,76.41,1.31,42.74,30.73,8.51,13.59,30743,12339,12849,5958,4188,8740,6112.0,6071,10801,13.8,8.56,22.1,17.54,5.59,63.07,18.95,25.42,15.25,22.85,9.54,28.77,12.21,10.96,3.12,72.86,70.3,73.68,79.21,69.03,75.55,2110,3.2,2508,20.73,33.85,43.66,53.15,0.65,1.05,1.36,1.66,94.26,1.46,5.33,3.69,2.55,2.7,2.26,70.82,2.7,50.7,2,1689,94.75,67.03,5.92,34.99,1948,5.76,0.44,29400,41000,58300,28900,194,259,328,134,326,25.4,17.2,13.2,77,4,3.12,70.01,53.86,81.83,87.39,111.0,133.55,102.0,122.72,60987.0,73376.6,549.4,133.5,92.57,97.3,0.0,0.0,0.0,0.0,6.0,13.0,112.6,56.2,1431.3,1.23,53.0,6349223.0,91.89,10.0,5.41,76390.8,4,4.81,61.0,73.39,121.0,145.58,1093.0,1315.05,1275.0,1534.02,4523.0,5441.86,256.0,308.01,0.0,0.0,1538.83,0.0,1
